SNO,PIN_Code,State_Name,Lat,Long
207,530005,ANDHRA PRADESH,17.6587,83.2742
208,530014,ANDHRA PRADESH,17.8817,83.3409
209,530032,ANDHRA PRADESH,17.926,83.1431
210,521226,ANDHRA PRADESH,16.9539,80.6836
211,521202,ANDHRA PRADESH,16.8327,80.8508
212,518349,ANDHRA PRADESH,15.8544,77.3436
213,535594,ANDHRA PRADESH,18.4968,83.2785
214,521201,ANDHRA PRADESH,16.7885,80.8459
215,517645,ANDHRA PRADESH,14.0891,80.0346
216,524002,ANDHRA PRADESH,14.4665,80.0903
217,521134,ANDHRA PRADESH,16.4595,80.6844
218,522009,ANDHRA PRADESH,16.2997,80.4573
219,532203,ANDHRA PRADESH,18.809,83.8397
220,530053,ANDHRA PRADESH,17.7831,83.2169
221,532186,ANDHRA PRADESH,18.3878,83.8806
222,533428,ANDHRA PRADESH,17.4506,82.0626
223,533401,ANDHRA PRADESH,17.405,82.5331
224,533406,ANDHRA PRADESH,17.3746,82.2826
225,533449,ANDHRA PRADESH,17.2142,82.344
226,533430,ANDHRA PRADESH,17.5187,81.9479
227,533445,ANDHRA PRADESH,17.0612,81.4922
228,533435,ANDHRA PRADESH,17.213,82.0102
229,533431,ANDHRA PRADESH,17.2035,82.1762
230,533407,ANDHRA PRADESH,17.4824,82.4891
231,533447,ANDHRA PRADESH,16.8854,80.8734
232,533450,ANDHRA PRADESH,17.0585,82.2284
233,533433,ANDHRA PRADESH,17.0955,82.1958
234,533437,ANDHRA PRADESH,17.048,82.1054
235,533432,ANDHRA PRADESH,17.535,81.8472
236,533436,ANDHRA PRADESH,17.4814,82.1552
237,533291,ANDHRA PRADESH,17.0482,82.0033
238,533440,ANDHRA PRADESH,16.5068,81.0652
239,533446,ANDHRA PRADESH,17.293,82.2794
240,533408,ANDHRA PRADESH,17.5465,82.4347
241,533448,ANDHRA PRADESH,18.2536,83.9012
242,533434,ANDHRA PRADESH,17.0235,82.1452
243,533429,ANDHRA PRADESH,17.2582,82.1356
244,533483,ANDHRA PRADESH,17.6106,82.1279
245,533005,ANDHRA PRADESH,17.0037,82.2287
246,533003,ANDHRA PRADESH,17.0597,82.1589
247,533002,ANDHRA PRADESH,17.0597,82.1589
248,533461,ANDHRA PRADESH,16.8,82.2333
249,533004,ANDHRA PRADESH,17.0597,82.1589
250,533001,ANDHRA PRADESH,16.546,81.4196
251,533468,ANDHRA PRADESH,16.3684,81.5254
252,533348,ANDHRA PRADESH,,
253,533351,ANDHRA PRADESH,,
254,533347,ANDHRA PRADESH,,
255,533352,ANDHRA PRADESH,,
256,522612,ANDHRA PRADESH,16.4358,79.5535
257,522658,ANDHRA PRADESH,16.1848,79.7807
258,522614,ANDHRA PRADESH,16.5104,79.7139
259,522647,ANDHRA PRADESH,16.1164,79.7531
260,522661,ANDHRA PRADESH,16.2887,79.8337
261,522601,ANDHRA PRADESH,16.2349,80.0493
262,522615,ANDHRA PRADESH,16.3783,79.9835
263,522660,ANDHRA PRADESH,16.3009,79.9296
264,522649,ANDHRA PRADESH,16.0004,79.8573
265,522529,ANDHRA PRADESH,16.3409,80.1675
266,522603,ANDHRA PRADESH,16.222,80.0051
267,522617,ANDHRA PRADESH,16.1929,79.8912
268,522549,ANDHRA PRADESH,16.301,80.17
269,522659,ANDHRA PRADESH,15.4598,80.0366
270,522646,ANDHRA PRADESH,16.086,79.835
271,522657,ANDHRA PRADESH,16.1307,79.6975
272,522616,ANDHRA PRADESH,16.092,80.2003
273,522233,ANDHRA PRADESH,16.1823,80.2521
274,522619,ANDHRA PRADESH,16.1005,80.2606
275,522611,ANDHRA PRADESH,16.1822,80.1114
276,522626,ANDHRA PRADESH,16.0819,80.086
277,522234,ANDHRA PRADESH,16.2112,80.1681
278,522409,ANDHRA PRADESH,16.6609,80.1224
279,522411,ANDHRA PRADESH,16.6774,79.9953
280,522437,ANDHRA PRADESH,16.4554,80.0447
281,522414,ANDHRA PRADESH,16.5345,79.7064
282,522403,ANDHRA PRADESH,16.3938,80.1522
283,522415,ANDHRA PRADESH,16.5053,79.6439
284,522410,ANDHRA PRADESH,16.5429,80.1384
285,522426,ANDHRA PRADESH,16.4942,79.432
286,522435,ANDHRA PRADESH,14.4608,80.1444
287,522438,ANDHRA PRADESH,16.376,80.2379
288,522408,ANDHRA PRADESH,16.3534,80.0861
289,522436,ANDHRA PRADESH,16.5004,79.458
290,522402,ANDHRA PRADESH,16.402,80.198
291,522413,ANDHRA PRADESH,16.4403,79.9227
292,522412,ANDHRA PRADESH,16.3912,80.0606
293,522421,ANDHRA PRADESH,16.5522,79.5382
294,522401,ANDHRA PRADESH,16.3934,80.2633
295,522613,ANDHRA PRADESH,16.3551,79.4006
296,522439,ANDHRA PRADESH,16.5619,79.3113
297,523111,ANDHRA PRADESH,15.7902,80.0301
298,523117,ANDHRA PRADESH,15.3919,77.6582
299,523228,ANDHRA PRADESH,15.4703,79.2742
300,523230,ANDHRA PRADESH,15.4059,79.5027
301,523252,ANDHRA PRADESH,16.4255,80.1307
302,523254,ANDHRA PRADESH,15.2289,79.4044
303,523253,ANDHRA PRADESH,16.2233,79.9718
304,523224,ANDHRA PRADESH,15.35,79.2333
305,523201,ANDHRA PRADESH,15.8826,79.8434
306,523001,ANDHRA PRADESH,15.5036,80.0445
307,523180,ANDHRA PRADESH,15.5802,80.1488
308,523226,ANDHRA PRADESH,15.4701,77.5771
309,523280,ANDHRA PRADESH,16.0073,80.0939
310,523182,ANDHRA PRADESH,15.5462,80.1145
311,523303,ANDHRA PRADESH,16.0287,79.9441
312,523171,ANDHRA PRADESH,16.0125,80.227
313,523155,ANDHRA PRADESH,17.1751,82.1662
314,523135,ANDHRA PRADESH,15.6919,80.2412
315,523157,ANDHRA PRADESH,15.8328,80.3622
316,523190,ANDHRA PRADESH,15.8823,80.1443
317,523167,ANDHRA PRADESH,15.7843,80.2072
318,523166,ANDHRA PRADESH,15.8489,80.3866
319,523165,ANDHRA PRADESH,15.8818,80.2475
320,523181,ANDHRA PRADESH,15.7261,80.2547
321,523168,ANDHRA PRADESH,15.8818,80.2475
322,523156,ANDHRA PRADESH,16.0857,80.7356
323,523184,ANDHRA PRADESH,15.6952,80.0974
324,523169,ANDHRA PRADESH,15.9531,80.289
325,523187,ANDHRA PRADESH,15.785,80.3066
326,523185,ANDHRA PRADESH,15.7897,80.2459
327,523170,ANDHRA PRADESH,15.8453,80.2521
328,523281,ANDHRA PRADESH,14.461,79.7259
329,523271,ANDHRA PRADESH,15.7116,80.1121
330,523105,ANDHRA PRADESH,15.2154,79.9039
331,523270,ANDHRA PRADESH,15.5934,79.986
332,523114,ANDHRA PRADESH,15.6108,79.8609
333,523115,ANDHRA PRADESH,14.1113,79.8932
334,523273,ANDHRA PRADESH,15.8451,80.0529
335,523113,ANDHRA PRADESH,15.1726,79.8225
336,523109,ANDHRA PRADESH,15.7431,80.2015
337,523291,ANDHRA PRADESH,15.0046,80.009
338,523101,ANDHRA PRADESH,17.1952,81.4106
339,523274,ANDHRA PRADESH,15.1762,80.0689
340,523292,ANDHRA PRADESH,15.4991,80.1174
341,523279,ANDHRA PRADESH,16.4298,80.6992
342,523116,ANDHRA PRADESH,16.7226,81.0284
343,523104,ANDHRA PRADESH,15.623,80.0113
344,523110,ANDHRA PRADESH,14.2797,80.0828
345,523112,ANDHRA PRADESH,15.583,79.7572
346,523247,ANDHRA PRADESH,16.0303,79.3668
347,523246,ANDHRA PRADESH,14.982,78.9153
348,523227,ANDHRA PRADESH,15.51,79.4404
349,523241,ANDHRA PRADESH,16.2948,80.177
350,523304,ANDHRA PRADESH,14.9247,77.598
351,523223,ANDHRA PRADESH,14.2696,79.1008
352,523265,ANDHRA PRADESH,16.2893,80.9654
353,523108,ANDHRA PRADESH,16.2153,80.1341
354,523245,ANDHRA PRADESH,15.7177,79.7686
355,523286,ANDHRA PRADESH,15.4451,80.1189
356,523002,ANDHRA PRADESH,15.5036,80.0445
357,523211,ANDHRA PRADESH,15.3225,80.0565
358,523301,ANDHRA PRADESH,15.9509,80.1206
359,523212,ANDHRA PRADESH,15.7544,80.0146
360,523261,ANDHRA PRADESH,15.8451,80.0529
361,523183,ANDHRA PRADESH,16.0305,79.6747
362,523213,ANDHRA PRADESH,15.7797,80.1005
363,523302,ANDHRA PRADESH,16.1088,79.937
364,523225,ANDHRA PRADESH,16.3764,80.0916
365,523264,ANDHRA PRADESH,16.3207,80.6923
366,523263,ANDHRA PRADESH,16.0399,80.3526
367,523262,ANDHRA PRADESH,15.5917,80.0844
368,523186,ANDHRA PRADESH,15.7158,80.1465
369,523260,ANDHRA PRADESH,15.9299,80.1136
370,533101,ANDHRA PRADESH,17.0052,81.7778
371,533104,ANDHRA PRADESH,17.3621,82.1814
372,533103,ANDHRA PRADESH,17.3621,82.1814
